date,Location,nutrient,mean,median,std,IQR,min,max
2019-04,Ocean,Nitrate HR,1.1,1.1,0.34,0.35,0.7,1.5
2019-04,Ocean,pH,8.3,8.3,0.1,0.1,8.2,8.4
2019-04,Ocean,Alkalinity,110,107,9.85,9.5,102,121
2019-04,Ocean,Silica,0.26,0.26,0.21,0.19,0,0.51
2019-04,Ocean,Iron,0.01,0,0.01,0.01,0,0.02
2019-04,Ocean,Ammonia,NA,NA,NA,NA,NA,NA
2019-05,Ocean,Turbidity,0.67,0,1.15,1,0,2
2019-05,Ocean,Phosphate,0.07,0.07,0.02,0.02,0.05,0.09
2019-05,Ocean,Nitrate MR,0.67,0.7,0.06,0.05,0.6,0.7
2019-05,Ocean,Nitrate HR,1.33,1.3,0.95,0.95,0.4,2.3
2019-05,Ocean,pH,8,8,NA,0,8,8
2019-05,Ocean,Alkalinity,NA,NA,NA,NA,NA,NA
2019-05,Ocean,Silica,0.32,0.32,0.13,0.13,0.19,0.45
2019-05,Ocean,Iron,0,0,0,0,0,0.01
2019-05,Ocean,Ammonia,NA,NA,NA,NA,NA,NA
2019-06,Ocean,Turbidity,0,0,0,0,0,0
2019-06,Ocean,Phosphate,0.03,0.04,0.03,0.05,0,0.07
2019-06,Ocean,Nitrate MR,1.06,1.1,0.28,0.35,0.7,1.5
2019-06,Ocean,Nitrate HR,1.84,1.7,0.45,0.35,1.4,2.7
2019-06,Ocean,pH,8.46,8.46,0.03,0.03,8.4,8.49
2019-06,Ocean,Alkalinity,118.93,118,7.66,9.25,111,132
2019-06,Ocean,Silica,0.5,0.46,0.24,0.4,0.24,0.82
2019-06,Ocean,Iron,0.01,0,0.01,0.01,0,0.01
2019-06,Ocean,Ammonia,NA,NA,NA,NA,NA,NA
2019-07,Ocean,Turbidity,0,0,0,0,0,0
2019-07,Ocean,Phosphate,0,0,0,0,0,0
2019-07,Ocean,Nitrate MR,0.92,1,0.22,0.22,0.5,1.2
2019-07,Ocean,Nitrate HR,1.2,1.15,0.28,0.3,0.9,1.8
2019-07,Ocean,pH,8.47,8.48,0.02,0.03,8.44,8.5
2019-07,Ocean,Alkalinity,125.33,129,7.37,10.25,115,132
2019-07,Ocean,Silica,0.85,0.5,0.58,0.95,0.34,1.91
2019-07,Ocean,Iron,0.01,0,0.01,0,0,0.02
2019-07,Ocean,Ammonia,NA,NA,NA,NA,NA,NA
2019-08,Ocean,Turbidity,0,0,0,0,0,0
2019-08,Ocean,Phosphate,0.08,0.06,0.07,0.05,0,0.17
2019-08,Ocean,Nitrate MR,0.9,0.9,0.28,0.2,0.7,1.1
2019-08,Ocean,Nitrate HR,1.2,1.2,0.14,0.1,1.1,1.3
2019-08,Ocean,pH,8.44,8.43,0.03,0.02,8.41,8.47
2019-08,Ocean,Alkalinity,119.25,119.5,14.8,20.75,103,135
2019-08,Ocean,Silica,0.58,0.63,0.12,0.08,0.39,0.65
2019-08,Ocean,Iron,0.01,0.01,0,0,0,0.01
2019-08,Ocean,Ammonia,NA,NA,NA,NA,NA,NA
2019-09,Ocean,Turbidity,0,0,NA,0,0,0
2019-09,Ocean,Phosphate,0.04,0.03,0.01,0.01,0.03,0.05
2019-09,Ocean,Nitrate MR,0.65,0.65,0.13,0.15,0.5,0.8
2019-09,Ocean,Nitrate HR,0.85,0.75,0.72,1.05,0.2,1.7
2019-09,Ocean,pH,8.41,8.43,0.07,0.07,8.31,8.48
2019-09,Ocean,Alkalinity,125.5,124,9.98,7.5,115,139
2019-09,Ocean,Silica,1.19,1.19,0.28,0.27,0.85,1.51
2019-09,Ocean,Iron,0.01,0.01,0.01,0,0,0.01
2019-09,Ocean,Ammonia,NA,NA,NA,NA,NA,NA
2019-10,Ocean,Turbidity,0,0,0,0,0,0
2019-10,Ocean,Phosphate,0.01,0.01,0.02,0.01,0,0.03
2019-10,Ocean,Nitrate MR,0.4,0.4,0,0,0.4,0.4
2019-10,Ocean,Nitrate HR,0.85,0.85,0.35,0.25,0.6,1.1
2019-10,Ocean,pH,8.35,8.35,0.18,0.13,8.22,8.48
2019-10,Ocean,Alkalinity,129.5,129.5,3.54,2.5,127,132
2019-10,Ocean,Silica,0.86,0.86,0.35,0.24,0.61,1.1
2019-10,Ocean,Iron,0,0,0,0,0,0.01
2019-10,Ocean,Ammonia,NA,NA,NA,NA,NA,NA
2019-11,Ocean,Turbidity,0,0,0,0,0,0
2019-11,Ocean,Phosphate,0.03,0.03,0.01,0.01,0.02,0.04
2019-11,Ocean,Nitrate MR,0.7,0.6,0.34,0.1,0.5,1.3
2019-11,Ocean,Nitrate HR,0.82,0.8,0.28,0.5,0.5,1.1
2019-11,Ocean,pH,8.31,8.3,0.09,0.14,8.21,8.42
2019-11,Ocean,Alkalinity,129.4,131,8.11,2,116,138
2019-11,Ocean,Silica,0.6,0.35,0.67,0.08,0.23,1.79
2019-11,Ocean,Iron,0,0,0.01,0,0,0.01
2019-11,Ocean,Ammonia,NA,NA,NA,NA,NA,NA
2019-12,Ocean,Turbidity,0,0,0,0,0,0
2019-12,Ocean,Phosphate,0.06,0.06,0.04,0.03,0.04,0.09
2019-12,Ocean,Nitrate MR,0.4,0.4,0,0,0.4,0.4
2019-12,Ocean,Nitrate HR,0.4,0.4,0.42,0.3,0.1,0.7
2019-12,Ocean,pH,8.41,8.41,0.01,0.01,8.4,8.41
2019-12,Ocean,Alkalinity,133,133,5.66,4,129,137
