year,variable,mean,median,std,IQR,min,max
2022,chlorophyll_ugL,NA,NA,NA,NA,NA,NA
2022,conductivity_uScm,50828.07,50722.7,495.27,749.53,50037.75,52165.75
2022,do_local_percent,104.74,104.16,3.5,5.66,94.11,114.86
2022,do_mgL,6.26,6.22,0.2,0.34,5.54,7.12
2022,do_saturated_percent,91.57,91.06,3.01,4.98,82.38,100.47
2022,nlf_conductivity_uScm,50591.51,50531.36,442.44,507.11,49920.03,51873.89
2022,orp_mV,230.26,230.25,11.58,16.01,197.94,267.53
2022,pH,8.14,8.14,0.08,0.13,7.85,8.37
2022,pH_mV,-99.58,-100.25,4.03,5.92,-107.49,-86.5
2022,salinity_psu,32.98,32.92,0.15,0.11,32.76,33.49
2022,sp_conductivity_uScm,50606.98,50528.46,472.24,518.46,49920,51894.84
2022,temp_c,25.05,25.05,0.05,0.09,24.25,25.13
2022,temp_f,77.1,77.08,0.08,0.17,75.66,77.23
2022,total_algae_cellsL,NA,NA,NA,NA,NA,NA
2022,total_algae_rfu,-3.08,-2.57,4.42,5.16,-15.1,2.93
2022,total_dissolved_solids_mgL,32903.73,32828.29,320.63,388.64,32400.64,33791.89
2023,chlorophyll_rfu,-0.55,-0.52,0.13,0.07,-0.93,-0.3
2023,chlorophyll_ugL,NA,NA,NA,NA,NA,NA
2023,conductivity_uScm,50541.41,50536.55,35.68,63.98,50402.95,50607.84
2023,do_local_percent,105.5,104.61,2.92,4.78,98.33,112.45
2023,do_mgL,6.34,6.29,0.18,0.29,6.07,6.76
2023,do_saturated_percent,92.7,91.9,2.59,4.2,87.43,98.86
2023,nlf_conductivity_uScm,50573.16,50571.14,130.57,145.31,50091.67,50933.39
2023,orp_mV,225.18,223.7,6.72,6.69,211.41,248.3
2023,pH,8.06,8.06,0.06,0.09,7.94,8.19
2023,pH_mV,-98.6,-98.74,2.83,4.6,-103.9,-92.27
2023,salinity_psu,33.1,33.11,0.08,0.08,32.87,33.2
2023,sp_conductivity_uScm,50569.25,50568.23,120.52,147.7,50109.8,50907.13
2023,temp_c,25.1,25.1,0.01,0.01,25.07,25.12
2023,temp_f,77.17,77.17,0.02,0.02,77.12,77.21
2023,total_algae_cellsL,NA,NA,NA,NA,NA,NA
2023,total_algae_rfu,-1.97,-1.95,0.18,0.18,-4.94,-1.63
2023,total_dissolved_solids_mgL,32849.81,32870.79,121.02,133.79,32512.14,33023.69
