Time,\\b2cdaqp\b2cdaq\DES_SAV_PLC.Ocean_Temp_Crabwalk_F,\\b2cdaqp\b2cdaq\DES_SAV_PLC.Ocean_Temp_C,\\b2cdaqp\b2cdaq\DES_SAV_PLC.Ocean_pH,\\b2cdaqp\b2cdaq\DES_SAV_PLC.Ocean_Salinity,\\b2cdaqp\b2cdaq\DES_SAV_PLC.Ocean_Conductivity,\\b2cdaqp\b2cdaq\DES_SAV_PLC.Ocean_ORP,\\b2cdaqp\b2cdaq\DES_SAV_PLC.Ocean_AlgaePE,\\b2cdaqp\b2cdaq\DES_SAV_PLC.Ocean_AlgaePC,\\b2cdaqp\b2cdaq\DES_SAV_PLC.Ocean_Chlorophyll
7/12/16 9:30,79.0812,26.1,7.9,25.4,40.8,132,6,248,0
7/12/16 9:45,79.0812,26.2,7.9,25.4,40.8,132,6,258,0
7/12/16 10:00,79.0812,26.2,7.9,25.4,40.8,132,6,320,0
7/12/16 10:15,79.0812,26.2,7.9,25.4,40.8,133,4,260,0
7/12/16 10:30,79.1375,26.2,7.9,25.4,40.8,135,3,217,0
7/12/16 10:45,79.1375,26.2,7.9,25.4,40.8,133,7,201,0
7/12/16 11:00,79.1938,26.2,7.9,25.4,40.8,132,8,164,0
7/12/16 11:15,79.25,26.2,7.9,25.4,40.8,133,7,219,0
7/12/16 11:30,79.25,26.2,7.9,25.4,40.9,133,7,187,0
7/12/16 11:45,79.25,26.3,7.9,25.4,40.9,131,8,234,0
7/12/16 12:00,79.3063,26.3,7.9,25.4,40.9,130,9,189,0
7/12/16 12:15,79.3063,26.3,7.9,25.4,40.9,131,6,309,0
7/12/16 12:30,79.3063,26.3,7.9,25.4,40.9,131,6,344,0
7/12/16 12:45,79.3625,26.3,7.9,25.4,40.9,131,9,263,0
7/12/16 13:00,79.3625,26.3,7.9,25.4,40.9,130,5,242,0
7/12/16 13:15,79.3625,26.3,7.9,25.4,40.9,131,8,253,0
7/12/16 13:30,79.4188,26.3,7.9,25.4,41,130,10,269,0
7/12/16 13:45,79.4188,26.3,7.9,25.4,41,130,6,322,0
7/12/16 14:00,79.4188,26.4,7.9,25.4,41,130,7,278,0
7/12/16 14:15,79.4188,26.4,7.9,25.4,41,129,6,206,0
7/12/16 14:30,79.475,26.4,7.9,25.4,41,129,4,196,0
7/12/16 14:45,79.475,26.4,7.9,25.4,41,129,9,167,0
7/12/16 15:00,79.475,26.4,7.9,25.4,41,129,5,239,0
7/12/16 15:15,79.475,26.4,7.9,25.4,41,129,6,214,0
7/12/16 15:30,79.475,26.4,7.9,25.4,41,129,7,216,0
7/12/16 15:45,79.475,26.4,7.9,25.4,41,129,6,159,0
7/12/16 16:00,79.475,26.4,7.9,25.4,41,129,6,196,0
7/12/16 16:15,79.475,26.4,7.9,25.4,41,128,5,161,0
7/12/16 16:30,79.475,26.4,7.9,25.4,41,128,6,95,0
7/12/16 16:45,79.475,26.4,7.9,25.4,41,129,4,114,0
7/12/16 17:00,79.475,26.4,7.9,25.4,41,129,4,93,0
7/12/16 17:15,79.475,26.4,7.9,25.4,41,131,5,71,0
7/12/16 17:30,79.475,26.4,7.9,25.4,41,129,8,130,0
7/12/16 17:45,79.4188,26.4,7.9,25.4,41,129,15,133,0
7/12/16 18:00,79.4188,26.4,7.9,25.4,41,129,9,153,0
7/12/16 18:15,79.4188,26.4,7.9,25.4,40.9,129,13,174,0
7/12/16 18:30,79.4188,26.4,7.9,25.4,40.9,127,12,184,0
7/12/16 18:45,79.3625,26.4,7.9,25.4,40.9,126,21,172,0
7/12/16 19:00,79.3625,26.3,7.9,25.4,40.9,129,11,127,0
7/12/16 19:15,79.3625,26.3,7.9,25.4,40.9,129,9,133,0
7/12/16 19:30,79.3063,26.3,7.9,25.4,40.9,128,9,70,0
7/12/16 19:45,79.3063,26.3,7.9,25.4,40.9,129,10,88,0
7/12/16 20:00,79.3063,26.3,7.9,25.4,40.9,129,10,81,0
7/12/16 20:15,79.3063,26.3,7.9,25.4,40.9,129,11,60,0
7/12/16 20:30,79.25,26.3,7.9,25.4,40.9,129,8,183,0
7/12/16 20:45,79.3063,26.3,7.9,25.4,40.9,129,11,216,0
7/12/16 21:00,79.25,26.3,7.9,25.4,40.9,131,8,256,0
7/12/16 21:15,79.25,26.3,7.9,25.4,40.9,130,11,269,0
7/12/16 21:30,79.25,26.3,7.9,25.4,40.9,129,11,112,0
7/12/16 21:45,79.3063,26.3,7.9,25.4,40.9,129,8,114,0
7/12/16 22:00,79.25,26.3,7.9,25.4,40.9,129,9,99,0
7/12/16 22:15,79.25,26.3,7.9,25.4,40.9,129,10,101,0
7/12/16 22:30,79.25,26.3,7.9,25.4,40.9,127,8,98,0
7/12/16 22:45,79.25,26.3,7.9,25.4,40.9,129,9,94,0
7/12/16 23:00,79.1938,26.3,7.9,25.4,40.9,129,10,86,0
7/12/16 23:15,79.25,26.3,7.9,25.4,40.9,129,15,75,0
7/12/16 23:30,79.1938,26.3,7.9,25.4,40.9,129,9,184,0
7/12/16 23:45,79.1938,26.2,7.9,25.4,40.9,129,13,79,0
7/13/16 0:00,79.1938,26.2,7.9,25.4,40.8,129,15,107,0
7/13/16 0:15,79.1938,26.2,7.9,25.4,40.8,128,10,98,0
7/13/16 0:30,79.1938,26.2,7.9,25.4,40.8,129,17,59,0
7/13/16 0:45,79.1938,26.2,7.9,25.4,40.8,129,7,81,0
7/13/16 1:00,79.1375,26.2,7.9,25.4,40.8,129,10,76,0
7/13/16 1:15,79.1938,26.2,7.9,25.4,40.8,129,7,103,0
7/13/16 1:30,79.1375,26.2,7.9,25.4,40.8,129,13,211,0
7/13/16 1:45,79.1375,26.2,7.9,25.4,40.8,129,15,176,0
7/13/16 2:00,79.1375,26.2,7.9,25.4,40.8,129,14,184,0
7/13/16 2:15,79.1375,26.2,7.9,25.4,40.8,128,9,139,0
7/13/16 2:30,79.1375,26.2,7.9,25.4,40.8,129,10,55,0
7/13/16 2:45,79.1375,26.2,7.9,25.4,40.8,128,11,60,0
7/13/16 3:00,79.1375,26.2,7.9,25.4,40.8,130,9,56,0
7/13/16 3:15,79.1375,26.2,7.9,25.4,40.8,129,11,57,0
7/13/16 3:30,79.0812,26.2,7.9,25.4,40.8,129,19,145,0
7/13/16 3:45,79.0812,26.2,7.9,25.4,40.8,129,21,193,0
7/13/16 4:00,79.0812,26.2,7.9,25.4,40.8,129,15,326,0
7/13/16 4:15,79.0812,26.2,7.9,25.4,40.8,130,16,150,0
7/13/16 4:30,79.0812,26.2,7.9,25.4,40.8,129,14,136,0
7/13/16 4:45,79.0812,26.2,7.9,25.4,40.8,129,13,93,0
7/13/16 5:00,79.0812,26.2,7.9,25.4,40.8,129,10,115,0
7/13/16 5:15,79.0812,26.2,7.9,25.4,40.8,129,20,104,0
7/13/16 5:30,79.025,26.1,7.9,25.4,40.8,129,12,136,0
7/13/16 5:45,79.0812,26.1,7.9,25.4,40.8,131,12,255,0
7/13/16 6:00,79.025,26.1,7.9,25.4,40.8,129,20,165,0
7/13/16 6:15,79.025,26.1,7.9,25.4,40.8,129,18,177,0
